,ids,retweet,favorite,inreplyto,friends,screen_name,followers,listed,text,location
2659,10394212,13646,0,,192,paige_donner,5190,77,RT @FLOTUS: It was an honor to be joined by our inspiring guests at this year’s #SOTU.  Each of them has a remarkable story to tell.  Thank…,Global
2660,2757695505,103,0,,68260,SweetKat111,73835,39,"RT @mrntweet2: America’s Prayerful President
 Before His Historical #SOTU 
   🇺🇸#GodBlessAmerica🇺🇸 https://t.co/TsKqLU4z1c",The Sweet South
2661,1258428798,2,0,,4789,GAdevoted,3959,16,"RT @aklange1: Suffragists wore white to signal their virtue, but also because publicity manager Charles Heaslip told them they would stand…",usa : gadevoted.tumblr.com
2662,1064058975669403648,2,0,,744,BelvinMma,170,0,RT @lovewave_sw: i hate seeing people exploiting &amp; misusing our (#ADOS) justice claim to smear Bernie as a racist “stepping on a Black woma…,"Philadelphia, PA"
2663,2351134502,2152,0,,3825,realmarkmunro,1588,10,"RT @1Romans58: I ask all the Women wearing white (Dems) at the the #SOTU

What is the point of ""Women empowerment"" if you must look around…",
2664,262504088,41466,0,,1134,iTimBracken,555,57,"RT @AOC: Why should I be “spirited and warm” for this embarrassment of a #SOTU?

Tonight was an unsettling night for our country. The presi…","Victoria, BC"
2665,68438966,371,0,,4629,blueeefoxx,3454,32,"RT @KAG4All: .VIDEO: 'It Was Really Cool': Young Cancer Survivor Describes Attending #SOTU as Guest of Trump &amp; First Lady.
So sweet &amp; keep…",USA
2666,1007083461679697920,38899,0,,436,BoliDundee,112,0,"RT @RealCandaceO: They won’t applaud 5 million people lifted off of food stamps. 
They won’t applaud historically low black unemployment.…",United States
2667,747483308,449,0,,2184,RoshniAaMom,2632,105,RT @amyklobuchar: Missing from #SOTU? Any mention of climate change. Science is clear: climate change is happening. Rejoin international cl…,
2668,4561259595,1,0,,1551,WldRvrFshr,491,74,"RT @bullriders1: MT @kenolin1 Anyone who believes a #SOTU slog through veiled threats, unctuous gratitude, phony promises of compassionate…",
2669,16409704,27910,0,,825,souplady723,834,2,"RT @realDonaldTrump: #SOTU
https://t.co/kL6SoClx4K",Former Californian now living proudly in Texas
2670,1666742652,269,0,,2767,shrekfacedkilla,1354,48,"RT @business: Bipartisan applause for Trump's recognition of Juan Guaido as the leader of Venezuela at #SOTU

This map shows how the crisis…",East Blue
2671,2438858671,1484,0,,6277,DunnoAbout,5779,56,"RT @heyitsCarolyn: These images from the #SOTU that we will never forget...

Democrat Women dressed in white sitting on their hands scowlin…",United States
2672,962817787470204929,174,0,,169,etdcampbell,155,0,RT @JaySekulow: The #SOTU drew attention to the new barbaric abortion law in #NewYork that would allow babies to be aborted up until the mo…,
2673,2801416642,1297,0,,548,MumbullsMa,1131,32,RT @thecjpearson: Democrats aren’t too enthusiastic about not killing babies. #SOTU,
2674,230836264,1222,0,,4357,Henrylewski,3539,62,RT @heyitsCarolyn: Watch this little snippet from the #SOTU and “Whacky Jacky” ⁦NV Senator Jacky Rosen telling AR Senator Krysten Sinema to…,United States
2675,16409704,17866,0,,825,souplady723,834,2,RT @realDonaldTrump: Looking forward to tonight! #SOTU https://t.co/lGKkZeaxUZ,Former Californian now living proudly in Texas
2676,1258428798,133,0,,4789,GAdevoted,3959,16,RT @tictoc: Democratic women are wearing white for #SOTU to honor the women's suffrage movement https://t.co/yy7mlu8knM,usa : gadevoted.tumblr.com
2677,4440372735,5299,0,,5045,morseherrick,2967,1,"RT @TimRunsHisMouth: Whoa! Jacky Rosen angrily warns Kyrsten Sinema ""Watch your ass"" when she was the only Democrat applauding Trump. 

She…",
2678,1090510556987969536,214,0,,69,myyaya7,27,0,"RT @Jetsta812: Thank you, @JoeManchinWV for standing in defense for the sanctity of life! The women sat stone faced, yet he had the courage…",United States
2679,3322741010,6191,0,,121,stagesofhealing,69,0,RT @Michelle4NM: All of this talk about walls tonight... #SOTU https://t.co/QFLAYHor0t,
2680,2801416642,1052,0,,548,MumbullsMa,1131,32,"RT @robbystarbuck: CNN commentators in full meltdown right now. One of them just said: ""It’s not what he does say, it’s what he doesn’t say…",
2681,226997507,3,0,,1227,SunilKumarAus,3705,233,"RT @USAHindiMein: राष्ट्रपति @realDonaldTrump: 
“चेयरमैन किम और मैं फ़रवरी 27 और 28 को फिर से वियतनाम में मिलेंगे।” #SOTU https://t.co/ltRx…","Laguna Hills, CA"
2682,772144598370095104,402,0,,2961,PeteLarson6,2555,2,"RT @RealMAGASteve: The best moment from the #SOTU was a 10-yr-old girl named Grace Eline.

From age-4 instead of b-day gifts, Grace asked f…",
